expert,Rewards,Episodes Duration in Seconds,Travelled Distance,Episodes Duration in Timesteps
0.000000000000000000e+00,-1.500000000000000000e+02,3.016200000000003456e+01,2.702630090179355182e+00,1.500000000000000000e+02
0.000000000000000000e+00,-4.200000000000000000e+01,1.052700000000004366e+01,7.117303956967050427e-01,5.300000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.012500000000000000e+01,1.684809131449079178e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.013700000000005730e+01,2.565917927873722082e+00,1.500000000000000000e+02
0.000000000000000000e+00,-6.300000000000000000e+01,1.476100000000008095e+01,1.010411517602252562e+00,7.400000000000000000e+01
0.000000000000000000e+00,-1.500000000000000000e+02,3.013900000000001000e+01,2.435138218090832307e+00,1.500000000000000000e+02
0.000000000000000000e+00,-9.300000000000000000e+01,2.085799999999994725e+01,1.443975096573337114e+00,1.040000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.018399999999996908e+01,2.825316854744329476e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.014499999999998181e+01,2.522113266152621769e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.016200000000003456e+01,2.276391204303185312e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.049199999999996180e+01,1.678066260154663425e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.048299999999994725e+01,1.193127812440598623e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.044200000000000728e+01,1.566478036357459303e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.047799999999983811e+01,1.015958569466946182e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.046499999999991815e+01,1.159939469353379993e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.051499999999987267e+01,7.909582276772529896e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.047199999999997999e+01,1.149038548018522565e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.044599999999991269e+01,1.641166485146207776e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.049299999999993815e+01,1.547217058409565915e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.052800000000002001e+01,1.145881089942565989e+00,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.048400000000037835e+01,9.433675136478266721e-01,1.500000000000000000e+02
0.000000000000000000e+00,-1.500000000000000000e+02,3.045700000000033469e+01,8.054298889701445585e-01,1.500000000000000000e+02
