human_action,agent_action,ee_pos_x_prev,ee_pos_y_prev,ee_vel_x_prev,ee_vel_y_prev,ee_pos_x_next,ee_pos_y_next,ee_vel_x_next,ee_vel_y_next,cmd_acc_human,cmd_acc_agent
0.000000000000000000e+00,0.000000000000000000e+00,-3.570293650780699268e-01,1.625909587720821003e-01,-9.541369594097992330e-05,4.731317985735126086e-05,-1.731848166518908105e-01,3.212529565718126867e-01,-6.711173153277543780e-05,1.282355817612755816e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-1.731848166518908105e-01,3.212529565718126867e-01,-6.711173153277543780e-05,1.282355817612755816e-04,-1.769999596268067021e-01,3.212784308355304264e-01,-6.903616708002746063e-05,1.285472440206040579e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.769999596268067021e-01,3.212784308355304264e-01,-6.903616708002746063e-05,1.285472440206040579e-04,-1.812157130974066943e-01,3.213040466350577384e-01,-7.167462075771406280e-05,1.294867526197763152e-04,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.812157130974066943e-01,3.213040466350577384e-01,-7.167462075771406280e-05,1.294867526197763152e-04,-1.809275924074618680e-01,3.213298844771902418e-01,-7.127841912721907380e-05,1.291381473139719706e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.809275924074618680e-01,3.213298844771902418e-01,-7.127841912721907380e-05,1.291381473139719706e-04,-1.806096034236481240e-01,3.213567465168453152e-01,-7.102020042912360960e-05,1.290005147306109903e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.806096034236481240e-01,3.213567465168453152e-01,-7.102020042912360960e-05,1.290005147306109903e-04,-1.803038075029220755e-01,3.213825673688587292e-01,-7.099367942319515694e-05,1.291757764884185217e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-1.803038075029220755e-01,3.213825673688587292e-01,-7.099367942319515694e-05,1.291757764884185217e-04,-1.834925182575948832e-01,3.214082983367917423e-01,-7.264760501252404536e-05,1.294681518412504439e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.834925182575948832e-01,3.214082983367917423e-01,-7.264760501252404536e-05,1.294681518412504439e-04,-1.914794029380632867e-01,3.214349039180526280e-01,-7.778436870425211951e-05,1.313160839079420918e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.914794029380632867e-01,3.214349039180526280e-01,-7.778436870425211951e-05,1.313160839079420918e-04,-1.991754275841459698e-01,3.214607435318972972e-01,-8.216595349868785296e-05,1.321819718406028795e-04,0.000000000000000000e+00,0.000000000000000000e+00
-1.000000000000000056e-01,0.000000000000000000e+00,-1.991754275841459698e-01,3.214607435318972972e-01,-8.216595349868785296e-05,1.321819718406028795e-04,-2.068723682614942161e-01,3.210020357321994311e-01,-8.668937564717235417e-05,1.329779734480796829e-04,-2.000000000000000042e-02,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-2.068723682614942161e-01,3.210020357321994311e-01,-8.668937564717235417e-05,1.329779734480796829e-04,-2.186745577111679495e-01,3.168140964007955529e-01,-9.176620465456102721e-05,1.308420920283473910e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-2.186745577111679495e-01,3.168140964007955529e-01,-9.176620465456102721e-05,1.308420920283473910e-04,-2.381636295873141296e-01,3.109170613967358610e-01,-1.018653878917047330e-04,1.291817990384216866e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.381636295873141296e-01,3.109170613967358610e-01,-1.018653878917047330e-04,1.291817990384216866e-04,-2.580758582748312602e-01,3.050195566801520708e-01,-1.130389496968489508e-04,1.277789292539735153e-04,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-2.580758582748312602e-01,3.050195566801520708e-01,-1.130389496968489508e-04,1.277789292539735153e-04,-2.703027643487580511e-01,2.988878431964989146e-01,-1.184721013872677220e-04,1.245517229283997951e-04,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.703027643487580511e-01,2.988878431964989146e-01,-1.184721013872677220e-04,1.245517229283997951e-04,-2.776878198181406687e-01,2.929919447853527870e-01,-1.202110903390735342e-04,1.205684162013759503e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-2.776878198181406687e-01,2.929919447853527870e-01,-1.202110903390735342e-04,1.205684162013759503e-04,-2.885550482813009632e-01,2.870947523228664644e-01,-1.256383494827496437e-04,1.180479128185859671e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.885550482813009632e-01,2.870947523228664644e-01,-1.256383494827496437e-04,1.180479128185859671e-04,-3.045400754819722611e-01,2.809602381708695140e-01,-1.363568574331193450e-04,1.169693890456720997e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.045400754819722611e-01,2.809602381708695140e-01,-1.363568574331193450e-04,1.169693890456720997e-04,-3.199277554903128817e-01,2.750613915555618072e-01,-1.468801494906568357e-04,1.156678507410698108e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.199277554903128817e-01,2.750613915555618072e-01,-1.468801494906568357e-04,1.156678507410698108e-04,-3.397235974370084732e-01,2.689252262265566240e-01,-1.638817303821172525e-04,1.161616916050622157e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.397235974370084732e-01,2.689252262265566240e-01,-1.638817303821172525e-04,1.161616916050622157e-04,-3.552319693818444257e-01,2.630249842965496354e-01,-1.781755481453241958e-04,1.159379647270986741e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.552319693818444257e-01,2.630249842965496354e-01,-1.781755481453241958e-04,1.159379647270986741e-04,-3.552666189619806403e-01,2.571276653139774604e-01,-1.728618911912603660e-04,1.104537438101527874e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.552666189619806403e-01,2.571276653139774604e-01,-1.728618911912603660e-04,1.104537438101527874e-04,-3.553001832425791706e-01,2.512292613666696761e-01,-1.674853165857135228e-04,1.051079398362163335e-04,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.553001832425791706e-01,2.512292613666696761e-01,-1.674853165857135228e-04,1.051079398362163335e-04,-3.553339780643727241e-01,2.450938276093939105e-01,-1.624846996892516447e-04,1.000184180006774098e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.553339780643727241e-01,2.450938276093939105e-01,-1.624846996892516447e-04,1.000184180006774098e-04,-3.553654975090757562e-01,2.391934004180532869e-01,-1.579258319280174724e-04,9.540568385970383560e-05,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.553654975090757562e-01,2.391934004180532869e-01,-1.579258319280174724e-04,9.540568385970383560e-05,-3.553960408191514375e-01,2.332920427259197738e-01,-1.528534831854603062e-04,9.070627912240950691e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.553960408191514375e-01,2.332920427259197738e-01,-1.528534831854603062e-04,9.070627912240950691e-05,-3.554268357498523989e-01,2.271537068109276969e-01,-1.480067921932222679e-04,8.618247769763913142e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.554268357498523989e-01,2.271537068109276969e-01,-1.480067921932222679e-04,8.618247769763913142e-05,-3.554555395062192757e-01,2.212506140263482690e-01,-1.439298717233333531e-04,8.223177329689015100e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.554555395062192757e-01,2.212506140263482690e-01,-1.439298717233333531e-04,8.223177329689015100e-05,-3.554845004887096094e-01,2.151105695790536954e-01,-1.394036321587585202e-04,7.814954501832050023e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,-3.554845004887096094e-01,2.151105695790536954e-01,-1.394036321587585202e-04,7.814954501832050023e-05,-3.555115117363997213e-01,2.092059208004193316e-01,-1.350798418733160130e-04,7.438180576093376961e-05,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,1.000000000000000000e+00,-3.555115117363997213e-01,2.092059208004193316e-01,-1.350798418733160130e-04,7.438180576093376961e-05,-3.520428813461440876e-01,2.033005880908984320e-01,-1.276036034682096528e-04,7.036377046975988167e-05,0.000000000000000000e+00,2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.520428813461440876e-01,2.033005880908984320e-01,-1.276036034682096528e-04,7.036377046975988167e-05,-3.481884621047151018e-01,1.973944583655207752e-01,-1.198246751633132476e-04,6.652144704902839304e-05,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.481884621047151018e-01,1.973944583655207752e-01,-1.198246751633132476e-04,6.652144704902839304e-05,-3.523176422191810486e-01,1.914872737691101223e-01,-1.211480084523012635e-04,6.429238498677515286e-05,0.000000000000000000e+00,-2.000000000000000111e-01
0.000000000000000000e+00,0.000000000000000000e+00,-3.523176422191810486e-01,1.914872737691101223e-01,-1.211480084523012635e-04,6.429238498677515286e-05,-3.558257416152502683e-01,1.853433246032043791e-01,-1.205690637897589471e-04,6.148368717639592584e-05,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.558257416152502683e-01,1.853433246032043791e-01,-1.205690637897589471e-04,6.148368717639592584e-05,-3.558491359038263857e-01,1.794354738202769695e-01,-1.172746813798638567e-04,5.869071703565950789e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.000000000000000000e+00,-3.558491359038263857e-01,1.794354738202769695e-01,-1.172746813798638567e-04,5.869071703565950789e-05,-3.558719476890784827e-01,1.739398703989735173e-01,-1.145129397286920287e-04,5.625622549707091089e-05,2.000000000000000042e-02,-2.000000000000000111e-01
0.000000000000000000e+00,2.000000000000000000e+00,-3.558719476890784827e-01,1.739398703989735173e-01,-1.145129397286920287e-04,5.625622549707091089e-05,-3.558954972319042787e-01,1.717826521636020565e-01,-1.130813801808400263e-04,5.522961866959191806e-05,0.000000000000000000e+00,-2.000000000000000111e-01
